"centre_no","size","rest.cafe.400","bus.400.tram.600.train.800","supermarket.800","convenience.400","butcher.800","bakery.800","pharmacy.800","post.800","park.400","comm.ctr.800","childcare.800","kindergarten.800","primary.800","distsport.800","comm.health.800","mat.child.health.800","gp.400","dentist.800"
1079,"small",99.4350282485876,100,13.5593220338983,7.34463276836158,100,100,100,100,97.1751412429379,0,100,100,100,100,0,100,77.9661016949153,100
108,"medium",70.8132194578537,100,42.3691050872633,12.4767916821389,0,2.93353137764575,29.8551800965466,0,98.5889342740438,2.78499814333457,100,91.4593390271073,79.3167471221686,79.9851466765689,0,0,50.0928332714445,66.2829558113628
1080,"small",0,80.3921568627451,0,72.5490196078431,0,0,100,100,80.3921568627451,0,13.7254901960784,0,35.2941176470588,0,0,0,72.5490196078431,0
1081,"medium",67.7148846960168,66.2473794549266,92.2431865828092,37.7358490566038,0,0,90.356394129979,88.6792452830189,89.5178197064989,5.66037735849057,98.7421383647799,93.2914046121593,39.832285115304,94.5492662473795,0,93.2914046121593,37.1069182389937,92.6624737945493
1082,"large",72.1868365180467,95.859872611465,95.7537154989384,61.5711252653928,0,0,90.1273885350319,88.0042462845011,72.2929936305732,0,97.8768577494692,90.8704883227176,28.8747346072187,97.0276008492569,0,81.9532908704883,90.552016985138,90.1273885350319
1083,"small",76.1363636363636,96.5909090909091,100,95.4545454545455,100,100,100,0,68.75,0,100,86.3636363636364,100,8.52272727272727,0,86.3636363636364,76.1363636363636,0
1084,"small",0,88.6792452830189,0,0,0,0,0,0,78.3018867924528,0,7.54716981132075,0,7.54716981132075,100,0,0,0,0
1085,"small",35.3535353535354,52.5252525252525,0,0,0,0,0,0,69.1919191919192,0,98.989898989899,33.3333333333333,90.4040404040404,88.3838383838384,0,0,0,0
1086,"small",44.2396313364055,91.2442396313364,0,82.0276497695853,0,0,0,0,24.8847926267281,0,97.2350230414747,0,0,97.6958525345622,0,0,0,0
1087,"small",96.9387755102041,94.8979591836735,0,91.8367346938776,0,0,0,100,89.7959183673469,100,100,100,100,100,0,0,73.469387755102,0
1088,"small",89.0625,96.875,0,0,0,0,0,0,99.21875,0,0,0,23.4375,100,0,0,0,0
1089,"large",32.2183098591549,72.6525821596244,96.6549295774648,25.4694835680751,0,64.3192488262911,81.924882629108,55.7511737089202,96.2441314553991,42.5469483568075,99.6478873239437,21.0680751173709,35.6220657276995,53.1103286384976,0,0,38.9671361502347,94.5422535211268
109,"small",95.1497860199715,100,0,0,0,0,63.9087018544936,0,25.3922967189729,0,63.7660485021398,33.6661911554922,37.2325249643367,94.151212553495,0,7.84593437945792,0,39.3723252496434
1090,"small",1.25,93.75,55,1.25,55,55,55,0,78.75,0,100,92.5,55,0,0,92.5,1.25,0
1091,"medium",61.4533965244866,92.4170616113744,23.3807266982622,2.8436018957346,13.1121642969984,22.5908372827804,24.1706161137441,23.5387045813586,49.4470774091627,0,98.7361769352291,52.7646129541864,94.6287519747235,5.21327014218009,0,3.3175355450237,34.4391785150079,66.0347551342812
1092,"large",49.8381877022654,46.2783171521036,97.2491909385113,21.5210355987055,0,59.8705501618123,58.4142394822006,48.3818770226537,56.6343042071197,0,97.4110032362459,92.3948220064725,90.6148867313916,0,0,37.0550161812298,33.0097087378641,45.1456310679612
1093,"small",0,90.9090909090909,0,90.9090909090909,0,0,0,21.8181818181818,74.5454545454545,0,21.8181818181818,21.8181818181818,29.0909090909091,100,0,0,0,0
1094,"small",53.3333333333333,83.3333333333333,0,0,0,0,0,0,90,0,10,0,10,90,0,0,0,0
1095,"medium",72.0461095100865,98.5590778097983,94.2363112391931,60.806916426513,0,90.2017291066282,24.4956772334294,93.9481268011527,33.1412103746398,23.0547550432277,23.0547550432277,0,23.0547550432277,71.1815561959654,0,0,0,0
1096,"small",80.9523809523809,80.9523809523809,0,0,0,0,0,0,100,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,92.8571428571429,0,0,0,0
1097,"large",32.2964318389753,89.7529734675206,93.5956084172004,21.683440073193,0,54.3458371454712,71.1802378774016,42.2689844464776,60.2012808783166,20.5855443732845,99.35956084172,57.4565416285453,61.4821591948765,91.6742909423605,40.8051235132662,62.3055809698079,46.4775846294602,98.9021043000915
1098,"small",0,94.8453608247423,0,83.5051546391753,0,0,0,0,100,92.7835051546392,96.9072164948454,91.7525773195876,77.319587628866,100,0,92.7835051546392,79.3814432989691,0
1099,"small",0,92.5925925925926,0,38.8888888888889,0,0,0,62.962962962963,100,0,0,0,25.9259259259259,100,0,0,0,0
11,"small",94.0251572327044,56.2893081761006,0,88.6792452830189,0,100,77.0440251572327,0,23.8993710691824,0,96.8553459119497,0,100,62.8930817610063,0,0,82.3899371069182,100
110,"large",88.0267821977156,99.9212288302481,95.8251280031509,34.5411579361954,0,0.708940527766837,94.2497046081134,76.9200472627019,73.9661283970067,52.1858999606144,100,80.504135486412,72.548247341473,60.8113430484443,0,51.7526585269791,60.1024025206774,100
1100,"small",0,0,0,0,0,1.40845070422535,1.40845070422535,1.40845070422535,69.4835680751174,0,6.10328638497653,6.10328638497653,2.8169014084507,100,0,1.40845070422535,0,6.10328638497653
1101,"small",61,82,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
1102,"large",38.4,51.2,93.6,24,98.4,24.8,69.6,24.8,73.6,0,56,0,47.2,100,0,93.6,50.4,0
